BALANCE,PURCHASES,PURCHASES_TRX,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,PAYMENTS
156.278339,1385.1,21,0.5,0.75,1280.473571
5131.319584,32539.78,98,1.0,1.0,26652.34432
5265.763713,410.24,21,0.083333,0.916667,12005.3074
2.564117,47.95,1,0.083333,0.0,294.507498
1873.084577,126.57,4,0.25,0.0,483.557464
1473.495809,414.0,9,0.0,0.666667,5863.94034
1504.82705,2010.0,14,0.166667,1.0,859.829946
7645.108427,4693.15,12,0.416667,0.333333,4786.64868
1129.33758,498.96,12,0.0,1.0,829.505486
668.956687,224.2,9,0.083333,0.416667,568.336995
2302.184366,2856.57,62,0.25,1.0,2914.419813
272.711518,0.0,0,0.0,0.0,2755.877257
4246.430225,0.0,0,0.0,0.0,6010.525656
2420.761135,0.0,0,0.0,0.0,871.713321
2935.324966,409.63,12,0.583333,0.083333,580.13865
83.148283,843.34,17,0.5,0.0,1024.267592
5469.851311,0.0,0,0.0,0.0,1362.966798
280.142117,2236.49,34,1.0,0.666667,1986.838064
5790.930626,464.51,10,0.25,0.166667,1515.594331
3605.714046,1779.0,2,0.166667,0.0,856.05828
3992.261885,0.0,0,0.0,0.0,1057.678259
41.833264,456.36,14,0.0,0.916667,370.996177
635.090434,5758.71,48,0.25,0.75,7943.57021
1521.1681,245.98,2,0.166667,0.0,2261.523522
5547.092593,0.0,0,0.0,0.0,1786.142816
2503.107213,733.9,13,1.0,0.0,1620.193277
191.450711,1641.07,15,0.666667,0.0,1583.918811
3621.70204,674.73,12,0.25,0.0,1139.058595
2762.479434,2702.47,27,0.25,1.0,7596.768364
4338.606862,0.0,0,0.0,0.0,8019.800702
388.873921,1579.15,15,0.5,0.25,451.600059
9261.310686,0.0,0,0.0,0.0,1933.413908
208.131845,2161.38,41,0.166667,1.0,2059.879468
169.088238,1482.19,26,0.583333,0.666667,1289.570234
133.911556,1446.05,16,0.083333,1.0,1364.121036
1613.34907,0.0,0,0.0,0.0,312.433361
53.208422,498.17,14,0.916667,0.083333,611.606459
1329.967543,2009.12,36,1.0,1.0,2715.972095
927.041961,0.0,0,0.0,0.0,719.974244
1872.767651,0.0,0,0.0,0.0,1151.721386
185.396312,0.0,0,0.0,0.0,117.542764
4823.822993,0.0,0,0.0,0.0,863.62306
994.105777,126.2,10,0.833333,0.0,314.302968
40.089221,225.0,12,0.0,1.0,325.578502
4732.37354,14.95,1,0.0,0.083333,1289.284068
9206.811696,874.98,16,0.083333,0.666667,2055.100879
6719.376505,0.0,0,0.0,0.0,1493.089193
2233.074041,445.2,4,0.166667,0.0,1042.991769
1867.649838,0.0,0,0.0,0.0,476.162309
57.842746,689.34,24,0.0,1.0,453.842413
4194.033835,2006.87,26,0.083333,0.666667,19714.09728
2459.862339,678.0,12,1.0,0.0,1926.31853
850.630114,0.05,1,0.083333,0.0,1084.281127
353.198215,3085.69,21,1.0,0.083333,2690.525687
2669.160638,0.0,0,0.0,0.0,642.777061
92.440743,1080.0,12,0.75,0.0,1077.058667
706.675991,2721.16,32,0.5,1.0,4952.900653
361.319366,3095.96,32,0.916667,0.833333,4003.782858
2324.086254,0.0,0,0.0,0.0,2147.890523
2922.487907,71.07,3,0.0,0.166667,9226.751112
98.364739,65.0,2,0.0,0.166667,718.794328
498.208616,4786.61,61,0.833333,0.5,3805.669705
16.93339,174.42,5,0.0,0.25,347.08638
3355.631092,242.88,12,0.0,1.0,6084.115091
907.982017,216.94,3,0.166667,0.0,222.02316
1132.386178,2246.3,8,0.333333,0.0,32048.6122
1254.6691,361.73,2,0.166667,0.0,535.606816
80.336636,330.0,1,0.1,0.0,345.330572
260.838885,2854.11,51,0.833333,0.916667,2437.332725
17.356961,390.0,7,0.083333,0.5,302.454171
1897.672025,422.18,12,1.0,0.0,2961.632199
1032.241153,1005.52,33,0.5,0.833333,1866.265366
3536.601227,2132.93,74,0.333333,1.0,8251.146946
21.580264,284.72,16,0.0,0.666667,344.161416
4211.539631,0.0,0,0.0,0.0,1288.287239
1732.715258,3244.16,29,0.666667,0.5,5674.185857
8939.461145,2490.17,8,0.166667,0.416667,3957.017497
41.754778,636.15,5,0.166667,0.0,918.414211
1937.246177,3018.93,99,1.0,1.0,3909.837604
99.955082,1222.97,16,0.25,1.0,1142.077891
5135.604593,110.18,4,0.0,0.333333,1716.998424
214.896542,0.0,0,0.0,0.0,2298.902197
1543.287931,0.0,0,0.0,0.0,548.589391
601.92037,983.77,15,0.416667,0.25,389.411161
1261.05733,0.0,0,0.0,0.0,866.865018
85.285023,423.24,9,0.375,0.375,296.01675
1903.688611,6079.5,31,0.25,0.666667,18552.39489
813.068705,439.38,2,0.083333,0.0,237.996469
1279.325142,1207.25,59,0.0,1.0,1282.705869
237.669312,259.13,1,0.083333,0.0,2680.635587
5747.761139,1627.69,49,0.0,1.0,2507.704747
7760.940543,0.0,0,0.0,0.0,2845.010795
6388.108487,0.0,0,0.0,0.0,10973.14532
426.372628,5749.96,50,1.0,0.25,5711.540654
8806.866629,1490.94,25,0.166667,1.0,2116.662516
1128.229387,5068.88,76,1.0,1.0,3904.568067
2045.541408,1067.28,30,0.0,1.0,2021.775795
8.520292,64.12,2,0.166667,0.0,176.600545
11278.95243,6855.59,39,0.75,0.833333,4868.088671
143.443832,1631.0,7,0.0,0.583333,2550.799492
241.223955,180.91,6,0.166667,0.0,802.858576
1528.571561,0.0,0,0.0,0.0,353.582373
12474.72954,136.88,2,0.0,0.166667,3519.008859
566.147105,0.0,0,0.0,0.0,1177.661577
1077.606225,343.21,4,0.25,0.0,930.328071
1.838084,16.5,1,0.083333,0.0,57.595083
507.144348,5708.18,47,0.75,0.75,5589.952268
816.82453,42.3,1,0.1,0.0,361.853722
1526.506915,46.67,1,0.083333,0.0,338.413344
7957.017218,0.0,0,0.0,0.0,677.144841
79.189929,699.12,24,0.0,1.0,697.977603
497.908027,245.39,7,0.0,0.5,328.796655
681.95925,98.0,2,0.166667,0.0,192.369983
1535.248256,857.36,13,1.0,0.0,3239.629759
1508.513765,2747.12,4,0.083333,0.166667,4730.374245
11209.37076,11147.33,126,0.25,1.0,7932.77402
201.3504,600.0,6,0.0,0.416667,249.066308
2502.264409,0.0,0,0.0,0.0,541.308981
4543.789386,255.12,11,0.25,0.5,1703.332126
918.342234,1221.53,2,0.166667,0.166667,1421.035206
5066.744231,0.0,0,0.0,0.0,1336.016317
2259.431829,780.64,22,0.166667,0.833333,663.553502
437.789873,1532.1,14,0.166667,0.666667,1834.368953
2025.162877,778.33,28,0.0,0.916667,1411.329676
3770.560441,964.06,8,0.125,0.75,565.71913
140.730723,1667.13,38,0.916667,0.833333,1669.260634
3298.692478,1088.83,6,0.083333,0.333333,6862.520735
1874.843394,0.0,0,0.0,0.0,444.783009
3024.629054,0.0,0,0.0,0.0,4226.578611
154.641707,1897.92,5,0.166667,0.166667,5563.437084
1322.057239,0.0,0,0.0,0.0,802.038512
62.287137,1263.29,25,1.0,0.583333,1356.425369
4664.023286,340.0,1,0.083333,0.0,2162.141639
318.03434,1277.58,20,0.0,1.0,552.734714
681.615445,4117.24,229,0.166667,1.0,4561.589382
9335.31417,226.23,5,0.166667,0.0,1885.239981
6404.955912,3970.8,64,0.583333,0.916667,3879.252512
133.405494,1346.9,14,0.083333,0.416667,1369.437449
1403.597712,1050.83,24,0.083333,1.0,4673.520993
469.878834,1364.99,7,0.083333,0.416667,1849.10398
1452.437463,0.0,0,0.0,0.0,331.670616
6032.740391,7553.48,85,0.75,1.0,5377.338091
1692.755487,570.16,20,0.0,0.833333,6124.31525
3534.253718,566.28,17,0.333333,0.333333,1298.823687
654.574445,0.0,0,0.0,0.0,422.878799
1648.721384,0.0,0,0.0,0.0,357.836436
6822.877573,137.34,1,0.083333,0.0,1874.954894
8647.057641,0.0,0,0.0,0.0,2052.533488
5055.582822,0.0,0,0.0,0.0,6918.272206
4245.550244,332.82,25,0.0,1.0,5810.994681
541.915572,1377.72,5,0.25,0.0,182.177646
4855.340797,0.0,0,0.0,0.0,2996.735376
981.643409,0.0,0,0.0,0.0,2008.971745
7057.658848,360.7,2,0.083333,0.0,5147.693822
4264.307261,222.64,11,0.0,0.833333,1017.241855
4503.390811,1634.74,38,0.333333,1.0,1094.345336
969.294446,0.0,0,0.0,0.0,591.853821
4479.115547,759.15,12,1.0,0.0,994.500495
37.753941,243.36,2,0.083333,0.0,546.417272
7386.704481,0.0,0,0.0,0.0,7566.577763
1265.805627,0.0,0,0.0,0.0,1370.235544
598.78776,519.0,9,0.0,0.636364,621.255763
3143.928913,3055.87,26,0.75,0.0,2198.293667
5580.530306,2470.4,19,0.083333,0.5,3340.041274
576.635957,1671.6,48,0.333333,1.0,1021.907217
51.818382,903.36,6,0.25,0.0,538.841222
1036.595935,0.0,0,0.0,0.0,274.653536
21.12921,229.5,7,0.083333,0.416667,423.206638
1534.969344,1476.19,23,1.0,0.0,1493.919986
4994.04832,2506.89,30,0.75,0.0,1230.219396
4700.106602,2570.0,40,0.166667,0.666667,3259.958288
9601.071318,238.34,5,0.0,0.833333,1194.510762
1207.888199,1342.36,27,0.875,0.5,288.883026
87.442862,786.32,7,0.090909,0.545455,881.284581
123.394089,1450.68,20,0.0,1.0,1583.421932
395.052994,1239.46,14,0.416667,0.416667,401.217047
1715.459275,96.75,7,0.083333,0.25,452.225512
1492.039988,4106.15,50,0.25,0.416667,9678.173119
636.669685,2022.38,19,0.916667,0.333333,939.306791
223.772475,3654.08,32,0.166667,1.0,3301.334578
1122.603377,883.73,26,0.333333,0.75,632.062443
805.131074,795.54,20,0.166667,1.0,1804.065076
869.001444,0.0,0,0.0,0.0,541.101815
4458.055159,0.0,0,0.0,0.0,1088.755323
2070.069187,1382.57,33,0.666667,0.833333,1580.0815
52.229659,565.5,14,0.0,1.0,2768.795805
6426.639738,4462.86,103,0.833333,0.916667,1793.043228
206.596865,1726.67,4,0.166667,0.0,4804.383296
5810.748774,217.0,2,0.166667,0.0,10428.37611
3872.605467,0.0,0,0.0,0.0,1067.405461
2597.400267,1748.73,31,0.416667,1.0,2497.488126
1481.43247,0.0,0,0.0,0.0,586.426259
1135.53683,50.98,4,0.0,0.333333,320.592941
3430.981532,378.04,4,0.0,0.166667,4315.936534
4102.599015,1483.12,30,0.25,0.583333,1357.36111
150.952465,6407.67,44,0.666667,1.0,3484.429075
3170.537693,0.0,0,0.0,0.0,547.23924
911.281862,70.0,1,0.083333,0.0,566.292758
45.753138,449.96,8,0.0,0.5,1023.209164
456.648662,3355.33,27,0.583333,0.833333,2087.871747
198.035504,0.0,0,0.0,0.0,14481.46544
473.840442,0.0,0,0.0,0.0,142.286073
285.813075,3220.09,24,1.0,0.416667,826.764555
204.329381,6558.55,74,1.0,0.0,5872.707939
3690.177649,0.0,0,0.0,0.0,1006.358943
327.445978,4305.05,38,0.916667,0.916667,4030.061017
6856.045926,262.1,5,0.166667,0.0,1629.239381
155.644239,1626.83,17,0.75,0.166667,1924.101393
4263.008734,3522.57,25,0.333333,1.0,1165.621928
10249.71178,0.0,0,0.0,0.0,2662.365409
813.185305,8194.05,121,1.0,1.0,7069.804042
911.893997,1604.8,11,0.25,0.083333,191.366024
3563.23692,709.9,16,1.0,0.083333,826.576112
12478.17286,174.0,3,0.25,0.0,3251.190662
2061.27937,0.0,0,0.0,0.0,552.713988
1556.376158,0.0,0,0.0,0.0,1076.722225
126.207012,913.0,5,0.0,0.333333,1718.487894
2516.753364,606.62,14,0.833333,0.083333,1043.617154
1199.942209,1447.01,19,0.166667,0.916667,642.723723
13479.28821,41050.4,157,0.666667,0.416667,36066.75068
80.062693,727.27,11,0.583333,0.0,822.928249
839.897907,1869.88,30,0.363636,0.909091,999.235386
128.175207,182.94,10,0.0,0.833333,1391.649702
47.6368,379.28,7,0.0,0.583333,641.943628
1529.206464,874.94,18,0.0,0.75,716.241063
2643.343414,26402.39,114,1.0,0.333333,24529.27662
2924.757622,0.0,0,0.0,0.0,677.649435
5036.870531,1752.15,53,0.916667,0.583333,1489.597574
32.042424,400.41,11,0.0,0.75,353.570259
2549.128288,13771.63,83,0.5,1.0,16826.42443
3718.606699,1172.68,7,0.083333,0.0,4820.842925
4914.325665,1653.6,14,0.25,0.583333,3410.253378
1191.584153,4238.79,33,0.5,1.0,3528.728592
98.420888,907.37,12,1.0,0.0,908.907467
1534.891604,0.0,0,0.0,0.0,304.984801
43.42718,569.34,19,0.0,1.0,758.421856
1874.601636,305.78,14,0.0,0.583333,518.757481
15258.2259,529.3,10,0.5,0.0,2051.14647
4497.213951,2001.19,30,0.083333,1.0,3058.768463
986.149218,0.0,0,0.0,0.0,832.894753
257.997181,1020.47,27,0.083333,0.916667,1099.15757
4507.733288,4754.32,43,0.833333,0.75,1924.73689
1117.635883,0.0,0,0.0,0.0,308.089987
5083.397311,331.95,2,0.2,0.0,4453.691497
3649.559565,1490.0,1,0.083333,0.0,573.307364
77.45581,558.28,14,0.25,0.833333,601.746596
1362.418281,1477.44,10,0.111111,0.888889,559.095981
189.12074,1051.1,13,0.0,0.833333,1301.155857
2374.663583,2242.26,42,0.416667,1.0,2073.374513
1112.070216,179.24,7,0.083333,0.333333,217.546584
2569.379868,972.65,15,0.166667,0.5,807.047622
2883.906333,4620.34,21,0.583333,1.0,6476.333335
71.046063,1023.8,2,0.083333,0.0,5872.895164
3366.051663,6344.3,54,0.833333,0.666667,2890.901993
7190.047748,1549.61,19,0.666667,0.0,1727.425472
68.039722,734.11,6,0.333333,0.0,1537.307484
5066.461251,2274.21,60,0.666667,1.0,5174.255034
2454.610005,1635.69,33,0.0,1.0,1442.488419
64.329876,627.03,8,0.166667,0.166667,1513.704151
1284.63314,55.5,1,0.0,0.083333,3432.757202
76.93561,277.0,2,0.333333,0.0,814.605178
950.563525,7479.95,14,0.818182,0.0,7521.226078
5178.179489,3937.59,54,0.75,0.833333,1248.498168
531.455619,6300.4,21,0.833333,0.0,4924.941312
263.6992,1856.64,12,0.0,1.0,1591.559543
492.070146,4924.41,48,0.8,0.0,3430.597877
1034.660626,1308.11,8,0.5,0.0,236.764555
11547.52001,49039.57,101,1.0,0.916667,46930.59824
8997.488544,4604.72,46,0.666667,0.75,4201.889848
9149.4096,227.8,4,0.333333,0.0,6710.905443
1296.922119,2327.49,18,0.666667,0.0,2322.412643
1758.979585,1199.0,1,0.090909,0.0,11634.38713
194.493602,1174.76,41,0.0,1.0,1280.294998
3294.37955,0.0,0,0.0,0.0,1084.059239
5404.202992,469.0,4,0.166667,0.333333,2676.467444
5484.800476,0.0,0,0.0,0.0,2060.020446
181.463092,133.39,3,0.25,0.0,168.425788
1311.732049,10700.63,222,0.5,1.0,9853.313787
542.218074,0.0,0,0.0,0.0,1328.855136
1029.101022,49.1,3,0.0,0.25,59.924534
