PURCHASES,CASH_ADVANCE,INSTALLMENTS_PURCHASES,CASH_ADVANCE_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY
0.0,920.309805,0.0,0.083333,0.0
808.0,959.857263,0.0,0.333333,0.0
941.64,0.0,941.64,0.0,1.0
0.0,5439.467563,0.0,0.583333,0.0
423.7,412.399058,246.06,0.083333,0.5
4478.75,7205.520805,1757.16,0.583333,1.0
1354.86,0.0,769.23,0.0,0.833333
0.0,1008.348672,0.0,0.083333,0.0
2812.2,2510.352951,1955.08,0.333333,1.0
0.0,3360.228794,0.0,0.25,0.0
1508.9,0.0,256.54,0.0,0.333333
1045.57,0.0,377.62,0.0,1.0
2309.78,0.0,2309.78,0.0,0.5
0.0,576.206382,0.0,0.25,0.0
495.0,0.0,495.0,0.0,0.166667
0.0,509.023801,0.0,0.333333,0.0
6724.26,1686.599777,2624.18,0.5,1.0
1174.39,0.0,0.0,0.0,0.0
5580.85,0.0,5580.85,0.0,1.0
0.0,998.84867,0.0,0.166667,0.0
0.0,4614.427403,0.0,0.333333,0.0
12462.44,0.0,0.0,0.0,0.0
0.0,272.713302,0.0,0.125,0.0
1957.3,0.0,880.0,0.0,0.583333
150.64,8362.154254,0.0,0.5,0.0
0.0,2799.714934,0.0,0.083333,0.0
907.0,273.558033,0.0,0.083333,0.0
1271.12,0.0,919.58,0.0,0.833333
250.6,0.0,250.6,0.0,0.5
796.33,13748.47131,0.0,0.666667,0.0
440.0,0.0,440.0,0.0,0.916667
1330.62,0.0,160.99,0.0,0.25
5491.79,0.0,4101.29,0.0,1.0
897.86,586.268966,183.34,0.25,0.916667
22009.92,0.0,12560.85,0.0,1.0
720.6,723.308724,0.0,0.083333,0.0
197.06,0.0,48.4,0.0,0.166667
0.0,1307.102516,0.0,0.166667,0.0
0.0,4002.353384,0.0,0.5,0.0
2084.48,0.0,784.0,0.0,0.583333
5779.36,0.0,2342.83,0.0,1.0
1025.0,0.0,0.0,0.0,0.0
689.7,0.0,689.7,0.0,0.833333
28.65,384.26178,0.0,0.083333,0.0
944.96,0.0,780.0,0.0,0.416667
1039.2,103.102091,959.2,0.083333,0.833333
4059.93,555.469352,4059.93,0.166667,0.5
4075.37,0.0,753.09,0.0,1.0
870.24,0.0,870.24,0.0,1.0
9792.23,2444.445738,5832.42,0.75,1.0
2463.12,0.0,1673.59,0.0,1.0
1859.34,0.0,1859.34,0.0,0.25
3488.49,3303.1523,226.24,0.75,0.5
0.0,66.275851,0.0,0.166667,0.0
7283.31,0.0,2196.0,0.0,0.666667
295.0,93.579809,0.0,0.083333,0.0
0.0,429.691164,0.0,0.416667,0.0
0.0,988.356213,0.0,0.083333,0.0
648.22,0.0,533.22,0.0,1.0
557.19,0.0,31.55,0.0,0.166667
469.98,0.0,469.98,0.0,0.833333
0.0,369.950794,0.0,0.083333,0.0
131.64,0.0,131.64,0.0,1.0
5078.14,1424.442602,747.61,0.083333,0.75
924.6,0.0,924.6,0.0,1.0
1975.4,0.0,581.9,0.0,0.333333
0.0,3671.777443,0.0,0.222222,0.0
10221.35,1620.685551,3079.97,0.583333,0.833333
300.0,0.0,300.0,0.0,0.166667
0.0,3905.326256,0.0,0.285714,0.0
5715.0,1626.351366,1029.46,0.166667,1.0
0.0,205.737165,0.0,0.166667,0.0
766.61,1017.120578,0.0,0.25,0.0
0.0,2040.433925,0.0,0.583333,0.0
3535.8,0.0,1921.1,0.0,0.916667
256.11,0.0,256.11,0.0,0.416667
2697.48,0.0,2546.98,0.0,1.0
23.0,0.0,23.0,0.0,0.083333
117.0,17661.49486,117.0,0.75,0.166667
196.81,0.0,23.81,0.0,0.083333
653.73,0.0,160.73,0.0,0.416667
2009.05,0.0,2009.05,0.0,0.75
147.78,1657.090283,147.78,0.25,0.166667
516.54,0.0,357.47,0.0,0.916667
969.56,446.233197,0.0,0.083333,0.0
311.45,955.959749,0.0,0.083333,0.0
280.4,0.0,0.0,0.0,0.0
66.14,0.0,0.0,0.0,0.0
79.2,1631.576375,0.0,0.083333,0.0
1453.32,0.0,1453.32,0.0,0.5
756.54,0.0,0.0,0.0,0.0
3507.35,0.0,2903.6,0.0,0.833333
3163.69,0.0,3106.89,0.0,0.666667
1343.19,0.0,260.4,0.0,0.583333
873.0,0.0,0.0,0.0,0.0
47.55,2039.52804,47.55,0.75,0.166667
370.0,0.0,0.0,0.0,0.0
405.75,1044.651618,92.0,0.333333,0.416667
261.64,0.0,261.64,0.0,0.833333
1989.28,893.757903,1146.48,0.083333,0.166667
10848.5,0.0,2640.5,0.0,1.0
43.39,0.0,43.39,0.0,0.083333
645.32,1665.331678,0.0,0.416667,0.0
987.1,5468.620604,125.0,0.25,0.083333
1464.14,3947.86784,485.43,0.416667,0.666667
927.0,0.0,327.0,0.0,0.166667
393.62,5933.467329,239.9,0.75,0.166667
965.5,0.0,89.37,0.0,0.083333
0.0,102.275984,0.0,0.083333,0.0
336.41,0.0,0.0,0.0,0.0
540.0,0.0,540.0,0.0,0.166667
36.0,0.0,36.0,0.0,0.083333
878.52,197.648111,775.42,0.083333,0.916667
144.26,0.0,77.18,0.0,0.166667
493.85,1738.33378,52.5,0.833333,0.25
4490.69,188.783221,1034.44,0.083333,1.0
11188.62,0.0,5089.46,0.0,1.0
1829.2,0.0,36.5,0.0,0.083333
75.99,0.0,0.0,0.0,0.0
1824.16,0.0,225.6,0.0,0.75
9325.22,0.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.0
1431.89,0.0,1001.2,0.0,0.833333
2260.41,0.0,904.08,0.0,0.75
0.0,466.643895,0.0,0.111111,0.0
10410.49,0.0,9251.65,0.0,0.583333
990.7,0.0,508.7,0.0,0.583333
3034.92,0.0,3034.92,0.0,1.0
1038.81,1092.634704,0.0,0.083333,0.0
45.65,0.0,0.0,0.0,0.0
2641.98,263.884743,1255.68,0.083333,0.75
1189.52,0.0,0.0,0.0,0.0
300.0,2800.728343,300.0,0.25,0.416667
126.69,154.341344,83.81,0.083333,0.25
247.09,182.357669,247.09,0.166667,0.416667
301.1,0.0,218.1,0.0,0.333333
1112.2,7616.064965,0.0,0.25,0.0
2410.07,0.0,739.57,0.0,0.333333
5350.19,0.0,566.85,0.0,0.916667
630.03,0.0,0.0,0.0,0.0
3197.24,0.0,1117.22,0.0,1.0
133.0,0.0,133.0,0.0,0.166667
1646.16,0.0,622.74,0.0,0.75
79.66,0.0,79.66,0.0,1.0
319.92,13439.5704,319.92,0.416667,1.0
3677.52,0.0,133.79,0.0,0.5
1041.63,4003.968939,0.0,0.333333,0.0
675.96,0.0,675.96,0.0,1.0
193.14,0.0,193.14,0.0,0.416667
1703.23,0.0,0.0,0.0,0.0
0.0,468.958688,0.0,0.166667,0.0
234.16,0.0,234.16,0.0,0.272727
29.68,0.0,0.0,0.0,0.0
1322.67,774.260436,225.96,0.25,0.416667
1607.88,0.0,1607.88,0.0,1.0
0.0,1716.941235,0.0,0.166667,0.0
3183.0,0.0,0.0,0.0,0.0
3014.23,103.610197,1673.89,0.083333,1.0
7323.38,191.331735,2378.5,0.083333,0.75
8533.54,7540.30735,4460.78,0.5,0.833333
408.93,0.0,334.13,0.0,0.5
3999.92,0.0,3799.92,0.0,1.0
2980.46,0.0,2322.68,0.0,1.0
560.73,0.0,0.0,0.0,0.0
569.9,0.0,0.0,0.0,0.0
6186.77,1898.690655,87.69,0.083333,0.25
4550.81,438.469118,1533.83,0.083333,1.0
150.8,1659.19931,0.0,0.416667,0.0
1385.1,0.0,380.0,0.0,0.75
32539.78,0.0,5992.35,0.0,1.0
410.24,15452.97758,365.53,0.333333,0.916667
47.95,0.0,0.0,0.0,0.0
126.57,181.139378,0.0,0.083333,0.0
380.89,0.0,0.0,0.0,0.0
414.0,0.0,414.0,0.0,0.666667
2010.0,1189.292764,1380.0,0.083333,1.0
4693.15,0.0,360.5,0.0,0.333333
498.96,72.259355,498.96,0.083333,1.0
224.2,0.0,76.08,0.0,0.416667
2856.57,0.0,1933.73,0.0,1.0
0.0,682.156051,0.0,0.083333,0.0
0.0,9270.408108,0.0,0.666667,0.0
0.0,567.233798,0.0,0.083333,0.0
409.63,1876.241162,57.76,0.25,0.083333
843.34,0.0,0.0,0.0,0.0
0.0,512.792701,0.0,0.166667,0.0
2236.49,0.0,1477.97,0.0,0.666667
464.51,2516.727082,65.1,0.166667,0.166667
1779.0,0.0,0.0,0.0,0.0
0.0,348.834361,0.0,0.583333,0.0
456.36,0.0,456.36,0.0,0.916667
5758.71,0.0,3506.34,0.0,0.75
245.98,2792.67597,0.0,0.25,0.0
0.0,3298.958165,0.0,0.083333,0.0
733.9,0.0,0.0,0.0,0.0
1641.07,380.972341,0.0,0.083333,0.0
674.73,1684.957411,0.0,0.166667,0.0
2702.47,0.0,1176.16,0.0,1.0
0.0,1817.569093,0.0,0.083333,0.0
1579.15,0.0,116.8,0.0,0.25
0.0,8603.045938,0.0,0.416667,0.0
2161.38,0.0,1709.88,0.0,1.0
1482.19,0.0,1036.12,0.0,0.666667
1446.05,0.0,901.6,0.0,1.0
0.0,1606.322681,0.0,0.181818,0.0
397.06,0.0,93.36,0.0,0.583333
498.17,0.0,39.15,0.0,0.083333
2009.12,1763.794583,712.44,0.25,1.0
5359.02,0.0,2959.24,0.0,1.0
0.0,402.974164,0.0,0.333333,0.0
0.0,3394.509419,0.0,0.166667,0.0
0.0,842.456926,0.0,0.363636,0.0
0.0,6481.300951,0.0,0.142857,0.0
126.2,0.0,0.0,0.0,0.0
225.0,0.0,225.0,0.0,1.0
734.97,0.0,575.97,0.0,0.75
14.95,2173.356068,14.95,0.416667,0.083333
874.98,4653.693195,524.98,0.333333,0.666667
0.0,2443.262416,0.0,0.333333,0.0
445.2,0.0,0.0,0.0,0.0
0.0,3264.573342,0.0,0.666667,0.0
689.34,0.0,689.34,0.0,1.0
2006.87,0.0,1586.27,0.0,0.666667
678.0,927.25167,0.0,0.25,0.0
0.05,1700.634586,0.0,0.333333,0.0
3085.69,0.0,52.72,0.0,0.083333
0.0,142.141325,0.0,0.166667,0.0
1080.0,0.0,0.0,0.0,0.0
2721.16,0.0,303.75,0.0,1.0
3095.96,0.0,1712.4,0.0,0.833333
0.0,1600.758078,0.0,0.909091,0.0
71.07,3595.158425,71.07,0.166667,0.166667
65.0,0.0,65.0,0.0,0.166667
4786.61,0.0,388.97,0.0,0.5
174.42,0.0,174.42,0.0,0.25
242.88,0.0,242.88,0.0,1.0
216.94,1011.997944,0.0,0.166667,0.0
2246.3,14048.07181,0.0,0.416667,0.0
361.73,198.686744,0.0,0.083333,0.0
330.0,0.0,0.0,0.0,0.0
2854.11,0.0,1056.15,0.0,0.916667
390.0,0.0,300.0,0.0,0.5
422.18,0.0,0.0,0.0,0.0
1005.52,0.0,541.02,0.0,0.833333
2132.93,5340.016172,1173.83,0.75,1.0
284.72,0.0,284.72,0.0,0.666667
0.0,455.581546,0.0,0.083333,0.0
3244.16,0.0,763.31,0.0,0.5
2490.17,5309.949725,1585.0,0.5,0.416667
1098.31,0.0,0.0,0.0,0.0
636.15,0.0,0.0,0.0,0.0
3018.93,0.0,1316.31,0.0,1.0
1222.97,0.0,1020.0,0.0,1.0
110.18,6551.99521,110.18,0.333333,0.333333
0.0,1192.015721,0.0,0.083333,0.0
0.0,36.481832,0.0,0.083333,0.0
983.77,0.0,380.0,0.0,0.25
0.0,474.429843,0.0,0.25,0.0
423.24,0.0,136.24,0.0,0.375
6079.5,10227.22894,1360.0,0.25,0.666667
439.38,727.658311,0.0,0.25,0.0
1207.25,0.0,1207.25,0.0,1.0
259.13,0.0,0.0,0.0,0.0
1627.69,0.0,1627.69,0.0,1.0
0.0,3423.085934,0.0,0.5,0.0
0.0,3768.696678,0.0,0.25,0.0
5749.96,0.0,310.0,0.0,0.25
1490.94,2813.063846,1490.92,0.166667,1.0
0.0,2333.150712,0.0,0.083333,0.0
5068.88,0.0,1539.0,0.0,1.0
1067.28,0.0,1067.28,0.0,1.0
64.12,0.0,0.0,0.0,0.0
6855.59,0.0,4092.67,0.0,0.833333
1631.0,0.0,1631.0,0.0,0.583333
180.91,0.0,0.0,0.0,0.0
0.0,172.931118,0.0,0.166667,0.0
136.88,515.147607,136.88,0.166667,0.166667
0.0,187.572355,0.0,0.083333,0.0
343.21,1609.900552,0.0,0.333333,0.0
16.5,0.0,0.0,0.0,0.0
5708.18,0.0,1123.4,0.0,0.75
42.3,3967.709973,0.0,0.2,0.0
46.67,0.0,0.0,0.0,0.0
0.0,4909.937494,0.0,0.25,0.0
699.12,0.0,699.12,0.0,1.0
245.39,0.0,245.39,0.0,0.5
98.0,0.0,0.0,0.0,0.0
857.36,0.0,0.0,0.0,0.0
2747.12,246.046033,1500.0,0.083333,0.166667
11147.33,2728.576925,10009.93,0.166667,1.0
600.0,0.0,600.0,0.0,0.416667
0.0,2368.872642,0.0,0.083333,0.0
255.12,0.0,250.12,0.0,0.5
1221.53,1078.788118,41.53,0.166667,0.166667
0.0,1974.503664,0.0,0.25,0.0
780.64,1227.555485,580.99,0.333333,0.833333
1532.1,0.0,1309.1,0.0,0.666667
778.33,0.0,778.33,0.0,0.916667
964.06,5140.287889,704.06,0.625,0.75
1667.13,0.0,603.99,0.0,0.833333
0.0,4087.167822,0.0,0.25,0.0
1088.83,0.0,570.44,0.0,0.333333
648.64,0.0,318.64,0.0,0.25
0.0,120.178123,0.0,0.083333,0.0
0.0,2171.139178,0.0,0.333333,0.0
1897.92,0.0,1800.0,0.0,0.166667
0.0,76.260896,0.0,0.090909,0.0
1263.29,0.0,983.3,0.0,0.583333
200.0,0.0,200.0,0.0,0.125
340.0,3510.115735,0.0,0.25,0.0
1277.58,0.0,1277.58,0.0,1.0
4117.24,0.0,3827.24,0.0,1.0
226.23,0.0,0.0,0.0,0.0
3970.8,0.0,1703.8,0.0,0.916667
1346.9,0.0,318.9,0.0,0.416667
1050.83,4083.515108,982.93,0.25,1.0
1364.99,284.754535,1300.0,0.166667,0.416667
0.0,114.918715,0.0,0.25,0.0
0.0,3017.170336,0.0,0.166667,0.0
7553.48,0.0,4909.95,0.0,1.0
570.16,2817.05225,570.16,0.333333,0.833333
566.28,3888.756412,135.27,0.083333,0.333333
0.0,2819.60583,0.0,0.083333,0.0
0.0,39.646806,0.0,0.090909,0.0
137.34,4815.112874,0.0,0.666667,0.0
0.0,5105.254316,0.0,0.416667,0.0
0.0,3435.737817,0.0,0.090909,0.0
332.82,6649.712062,332.82,0.666667,1.0
1377.72,0.0,0.0,0.0,0.0
0.0,1886.470361,0.0,0.083333,0.0
0.0,1462.32354,0.0,0.083333,0.0
360.7,6517.541812,0.0,0.333333,0.0
222.64,249.298208,222.64,0.25,0.833333
1634.74,94.837161,258.74,0.083333,1.0
0.0,340.249539,0.0,0.083333,0.0
759.15,2493.111705,0.0,0.25,0.0
243.36,0.0,0.0,0.0,0.0
0.0,10713.8746,0.0,0.4,0.0
0.0,2820.528417,0.0,0.25,0.0
519.0,0.0,519.0,0.0,0.636364
3055.87,0.0,0.0,0.0,0.0
2470.4,1652.878895,2012.67,0.083333,0.5
1671.6,0.0,1191.6,0.0,1.0
903.36,0.0,0.0,0.0,0.0
0.0,193.738137,0.0,0.083333,0.0
229.5,0.0,175.5,0.0,0.416667
1476.19,0.0,0.0,0.0,0.0
2506.89,0.0,0.0,0.0,0.0
2570.0,124.563782,2077.54,0.166667,0.666667
238.34,4809.11955,238.34,1.0,0.833333
1342.36,1738.109478,304.4,0.25,0.5
786.32,0.0,600.0,0.0,0.545455
1450.68,0.0,1450.68,0.0,1.0
1239.46,0.0,487.18,0.0,0.416667
96.75,19.141227,62.1,0.083333,0.25
4106.15,734.816479,1417.69,0.083333,0.416667
2022.38,0.0,130.0,0.0,0.333333
3654.08,0.0,3362.67,0.0,1.0
883.73,0.0,426.11,0.0,0.75
795.54,418.482499,628.14,0.083333,1.0
0.0,278.591282,0.0,0.083333,0.0
0.0,2806.959645,0.0,0.583333,0.0
1382.57,0.0,304.82,0.0,0.833333
565.5,101.137379,565.5,0.083333,1.0
4462.86,4599.625146,1646.4,0.333333,0.916667
1726.67,0.0,0.0,0.0,0.0
217.0,12377.36037,0.0,0.583333,0.0
0.0,1483.933054,0.0,0.416667,0.0
1748.73,0.0,1230.29,0.0,1.0
0.0,149.36039,0.0,0.083333,0.0
50.98,0.0,50.98,0.0,0.333333
378.04,0.0,378.04,0.0,0.166667
1483.12,1992.715742,397.93,0.166667,0.583333
6407.67,0.0,2682.34,0.0,1.0
0.0,1161.103112,0.0,0.181818,0.0
70.0,0.0,0.0,0.0,0.0
449.96,0.0,449.96,0.0,0.5
3355.33,0.0,1050.0,0.0,0.833333
0.0,14371.78789,0.0,0.25,0.0
0.0,818.124484,0.0,0.333333,0.0
3220.09,0.0,278.7,0.0,0.416667
6558.55,0.0,0.0,0.0,0.0
0.0,1328.643945,0.0,0.5,0.0
4305.05,0.0,1399.34,0.0,0.916667
262.1,3053.777459,0.0,0.333333,0.0
1626.83,0.0,797.98,0.0,0.166667
3522.57,2485.845274,2040.57,0.25,1.0
0.0,2438.356719,0.0,0.333333,0.0
8194.05,0.0,913.78,0.0,1.0
1604.8,1302.014616,77.5,0.083333,0.083333
709.9,779.264494,100.0,0.166667,0.083333
174.0,3269.418821,0.0,0.666667,0.0
0.0,554.11523,0.0,0.25,0.0
0.0,655.037683,0.0,0.583333,0.0
913.0,0.0,913.0,0.0,0.333333
606.62,0.0,7.67,0.0,0.083333
1447.01,49.912813,1140.7,0.083333,0.916667
41050.4,0.0,426.34,0.0,0.416667
727.27,0.0,0.0,0.0,0.0
1869.88,0.0,1054.77,0.0,0.909091
182.94,0.0,182.94,0.0,0.833333
379.28,0.0,379.28,0.0,0.583333
874.94,0.0,874.94,0.0,0.75
26402.39,0.0,4145.0,0.0,0.333333
0.0,281.044645,0.0,0.166667,0.0
1752.15,1072.351863,187.99,0.25,0.583333
400.41,0.0,489.39,0.0,0.75
13771.63,0.0,9268.32,0.0,1.0
1172.68,10372.8492,0.0,0.5,0.0
1653.6,1442.395734,1300.0,0.166667,0.583333
4238.79,0.0,2018.4,0.0,1.0
907.37,0.0,0.0,0.0,0.0
0.0,2614.626296,0.0,0.25,0.0
0.0,6523.780195,0.0,0.083333,0.0
569.34,0.0,569.34,0.0,1.0
305.78,0.0,305.78,0.0,0.583333
529.3,4100.891579,0.0,1.0,0.0
2001.19,0.0,1790.76,0.0,1.0
0.0,2955.030338,0.0,0.166667,0.0
1020.47,0.0,835.47,0.0,0.916667
4754.32,0.0,1117.79,0.0,0.75
0.0,97.200877,0.0,0.25,0.0
331.95,10384.82416,0.0,0.8,0.0
1490.0,8824.695802,0.0,0.166667,0.0
558.28,0.0,287.76,0.0,0.833333
1477.44,451.968387,577.44,0.111111,0.888889
1051.1,0.0,1051.1,0.0,0.833333
2242.26,228.465161,1019.3,0.083333,1.0
179.24,0.0,120.24,0.0,0.333333
972.65,1390.367155,809.7,0.166667,0.5
4620.34,0.0,319.92,0.0,1.0
1023.8,0.0,0.0,0.0,0.0
6344.3,0.0,1905.5,0.0,0.666667
1549.61,3269.100834,0.0,0.75,0.0
734.11,0.0,0.0,0.0,0.0
2274.21,2854.551358,991.36,0.75,1.0
1635.69,486.813976,1635.69,0.083333,1.0
627.03,0.0,145.0,0.0,0.166667
55.5,5406.459348,55.5,0.833333,0.083333
277.0,0.0,0.0,0.0,0.0
7479.95,0.0,0.0,0.0,0.0
3937.59,0.0,1331.17,0.0,0.833333
6300.4,0.0,0.0,0.0,0.0
1856.64,0.0,1856.64,0.0,1.0
4924.41,0.0,0.0,0.0,0.0
1308.11,234.602843,0.0,0.166667,0.0
49039.57,558.166886,8278.32,0.083333,0.916667
4604.72,1854.533843,584.39,0.166667,0.75
227.8,5583.937965,0.0,0.666667,0.0
2327.49,1873.271885,0.0,0.25,0.0
1199.0,8552.910316,0.0,0.636364,0.0
1174.76,0.0,1174.76,0.0,1.0
0.0,2546.891416,0.0,0.083333,0.0
469.0,8005.22508,183.0,0.833333,0.333333
0.0,1239.217984,0.0,0.666667,0.0
133.39,219.143859,0.0,0.166667,0.0
10700.63,0.0,7787.98,0.0,1.0
0.0,1074.741949,0.0,0.166667,0.0
49.1,0.0,49.1,0.0,0.25
11313.77,0.0,1180.07,0.0,0.833333
0.0,282.895246,0.0,0.25,0.0
3525.37,0.0,3525.37,0.0,1.0
258.74,0.0,0.0,0.0,0.0
2448.6,0.0,2448.6,0.0,1.0
293.99,0.0,99.0,0.0,0.166667
709.0,771.711794,0.0,0.3,0.0
1628.07,0.0,0.0,0.0,0.0
0.0,3216.192328,0.0,0.083333,0.0
0.0,2224.68646,0.0,0.083333,0.0
165.0,0.0,0.0,0.0,0.0
11681.64,0.0,0.0,0.0,0.0
98.97,0.0,98.97,0.0,0.416667
0.0,721.214369,0.0,0.25,0.0
1142.15,2652.115823,124.5,0.25,0.25
1494.5,0.0,0.0,0.0,0.0
646.24,0.0,0.0,0.0,0.0
0.0,2052.835555,0.0,0.333333,0.0
3608.88,0.0,1484.13,0.0,0.75
0.0,3118.050456,0.0,0.083333,0.0
0.0,2846.034435,0.0,0.166667,0.0
12465.21,0.0,2659.48,0.0,1.0
7823.74,2621.049473,258.93,0.083333,1.0
24.64,0.0,0.0,0.0,0.0
27957.68,0.0,4924.71,0.0,0.916667
372.0,0.0,98.4,0.0,0.25
1841.62,4004.273974,384.68,0.416667,0.25
1678.07,0.0,853.86,0.0,1.0
11674.64,0.0,2273.68,0.0,0.916667
2094.38,0.0,0.0,0.0,0.0
0.0,2970.288928,0.0,0.363636,0.0
411.38,99.078081,0.0,0.083333,0.0
99.19,0.0,99.19,0.0,0.5
525.0,2003.827851,0.0,0.25,0.0
1956.06,0.0,178.92,0.0,0.333333
1750.51,239.188373,235.05,0.166667,0.166667
18.41,0.0,18.41,0.0,0.083333
386.12,3715.643596,0.0,0.363636,0.0
0.0,199.214973,0.0,0.363636,0.0
0.0,11549.11174,0.0,0.416667,0.0
625.46,0.0,427.06,0.0,0.5
963.13,0.0,0.0,0.0,0.0
2011.81,0.0,0.0,0.0,0.0
99.5,7726.511679,99.5,0.416667,0.75
1084.09,0.0,1084.09,0.0,0.666667
207.0,1546.727807,207.0,0.5,0.916667
1757.47,0.0,850.42,0.0,1.0
3837.59,14811.68818,1977.41,0.916667,1.0
117.57,1022.23072,0.0,0.083333,0.0
1223.41,0.0,454.0,0.0,0.916667
1710.24,2292.800636,892.92,0.25,1.0
11.06,1261.347779,0.0,0.083333,0.0
0.0,4849.693752,0.0,0.916667,0.0
8273.18,0.0,5368.29,0.0,1.0
619.93,1958.668173,619.93,0.083333,0.916667
190.0,0.0,190.0,0.0,0.2
7680.08,0.0,2629.11,0.0,1.0
9734.63,0.0,5978.62,0.0,1.0
0.0,136.662804,0.0,0.083333,0.0
8403.17,3141.100688,933.47,0.5,0.75
118.6,0.0,48.6,0.0,0.916667
11202.09,0.0,272.56,0.0,0.583333
794.52,0.0,0.0,0.0,0.0
1704.22,0.0,1553.72,0.0,0.8
1044.43,103.174612,243.08,0.083333,0.333333
